id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,quality_grade,image_url,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,scientific_name,common_name
9465113,fbb98d86-8bea-47a2-9d70-65bdac304c33,2018/01/13 2:20 PM PST,2018-01-13,2018-01-13 22:20:00 UTC,Pacific Time (US & Canada),research,https://inaturalist-open-data.s3.amazonaws.com/photos/12877995/medium.jpeg,Ollie's Pond Park,26.985087,-82.150846,288,,,,288,Turdus migratorius,American Robin
9486320,a27194e6-5b76-453a-bb48-b1a086d01c65,2018/01/15 2:40 PM PST,2018-01-15,2018-01-15 22:40:00 UTC,Pacific Time (US & Canada),research,https://inaturalist-open-data.s3.amazonaws.com/photos/12915049/medium.jpeg,"Citrus County, FL, USA",28.9039950458,-82.6349733851,31,,,,31,Turdus migratorius,American Robin
9523661,e86ddcbd-6940-40e5-880b-368bc7ecb298,2018/01/17 4:53 PM EST,2018-01-17,2018-01-17 21:53:00 UTC,Eastern Time (US & Canada),research,https://static.inaturalist.org/photos/12984615/medium.jpeg,"Volusia County, FL, USA",29.0945864523,-80.9747850895,112,,,,112,Turdus migratorius,American Robin
9540227,f8b86253-d05c-4392-816a-fec94b76c818,2018/01/20,2018-01-20,,Eastern Time (US & Canada),research,https://inaturalist-open-data.s3.amazonaws.com/photos/13013905/medium.jpeg,"5906 Kracker Ave, Gibsonton, FL 33534, USA",27.8110209,-82.3912211,199,,,,199,Turdus migratorius,American Robin
9542892,e7ac1a26-4a14-4fa6-9aa2-dc84629d51c9,2018-01-17 09:25:54,2018-01-17,2018-01-17 14:25:54 UTC,Eastern Time (US & Canada),research,https://inaturalist-open-data.s3.amazonaws.com/photos/13018268/medium.jpg,"Christmas, Florida, United States",28.571369,-80.996618,,,,,,Turdus migratorius,American Robin
9553822,12ddaff8-aca2-4198-b04b-6f38b4e2f53e,Sun Jan 21 2018 14:17:41 GMT-0500 (EST),2018-01-21,2018-01-21 19:17:41 UTC,Eastern Time (US & Canada),research,https://inaturalist-open-data.s3.amazonaws.com/photos/13037376/medium.jpeg,"1001 Old Rock Rd, Yankeetown, FL, US",29.0292542059,-82.7248136869,512,,,,512,Turdus migratorius,American Robin
9603608,5fb03802-f4d4-417e-8449-32e8a8167966,Wed Jan 24 2018 13:55:12 GMT-0500 (EST),2018-01-24,2018-01-24 18:55:12 UTC,Eastern Time (US & Canada),research,https://inaturalist-open-data.s3.amazonaws.com/photos/13101496/medium.jpg,"Alachua County, US-FL, US",29.667857702,-82.3885314105,178,,,,29458,Turdus migratorius,American Robin
9605579,db541c99-5f9c-4e56-8b4f-1a5a37013bde,2018/01/24 5:34 PM EST,2018-01-24,2018-01-24 22:34:00 UTC,Eastern Time (US & Canada),research,https://static.inaturalist.org/photos/13105092/medium.jpeg,"Port St Lucie, FL, USA",27.3080851909,-80.2734518051,139,,,,139,Turdus migratorius,American Robin
9659678,5ebc646c-57af-4da3-bb80-9fb09039b09a,2018/01/27 6:39 AM CST,2018-01-27,2018-01-27 12:39:00 UTC,Central Time (US & Canada),research,https://inaturalist-open-data.s3.amazonaws.com/photos/13197839/medium.jpeg,"Wakulla County, FL, USA",30.1265272835,-84.1490077972,31,,,,31,Turdus migratorius,American Robin
9684676,480aab4f-65ed-4117-8416-2df80762b33a,2018-01-31,2018-01-31,,Eastern Time (US & Canada),research,https://inaturalist-open-data.s3.amazonaws.com/photos/13240292/medium.jpeg,Lake Blue Scrub,28.045506,-81.781667,,,,,,Turdus migratorius,American Robin
